# Insercion. Tiempos en microsegundos.
# Talla    Mejor       Peor     Promedio 
#----------------------------------------
    1000     2.260   780.740   477.925
    2000     4.044  1593.235  1288.295
    3000     3.068  3892.480  1943.385
    4000     4.818  6975.825  3237.185
    5000     5.751 11171.105  5013.185
    6000     6.201 14465.425  7376.465
    7000     7.570 19060.190 10004.410
    8000     9.130 27662.610 13828.320
    9000    10.140 31269.845 15765.470
   10000    11.230 41717.805 19569.210
