# Busqueda lineal. Tiempos en microsegundos
# Talla       Mejor       Peor     Promedio
#------------------------------------------
   10000     0.000     6.289     1.737
   20000     0.000     8.032     3.945
   30000     0.000    13.013     6.167
   40000     0.000    17.043     8.518
   50000     0.000    22.141    10.700
   60000     0.000    26.298    12.966
   70000     0.000    31.048    15.212
   80000     0.000    35.218    17.357
   90000     0.000    39.652    19.767
  100000     0.000    44.832    22.002
